Iteracion,Temperatura,Calidad,Fase
20000,0.000028,4036.160400,0
20100,0.000026,3304.244141,0
20200,0.000024,3701.285156,0
20300,0.000022,4078.820801,0
20400,0.000020,4078.820801,0
20500,0.000019,3620.047363,0
20600,0.000017,3304.244141,0
20700,0.000016,3885.430176,0
20800,0.000015,3620.047363,0
20900,0.000013,3304.244141,0
21000,0.000012,3620.047363,0
21100,0.000011,3620.047363,0
21200,0.000010,3689.586914,0
21300,0.000010,3832.510010,0
21400,0.000010,4078.820801,0
21500,0.000009,4078.820801,0
21600,0.000008,3304.244141,0
21700,0.000007,3620.047363,0
21800,0.000007,3832.510010,0
21900,0.000006,3885.430176,0
22000,0.000006,4036.160400,0
22100,0.000005,3885.430176,0
22200,0.000005,4078.820801,0
22300,0.000005,4036.160400,0
22400,0.000004,4036.160400,0
22500,0.000004,3701.285156,0
22600,0.000004,3885.430176,0
22700,0.000003,3701.285156,0
22800,0.000003,3620.047363,0
22900,0.000003,3885.430176,0
23000,0.000003,4078.820801,0
23100,0.000003,3701.285156,0
23200,0.000002,3620.047363,0
23300,0.000002,4036.160400,0
23400,0.000002,3832.510010,0
23500,0.000002,3701.285156,0
23600,0.000002,3885.430176,0
23700,0.000002,4078.820801,0
23800,0.000001,3885.430176,0
23900,0.000001,3885.430176,0
24000,0.000001,3620.047363,0
24100,0.000001,4036.160400,0
24200,0.000001,4036.160400,0
24300,0.000001,4078.820801,0
24400,0.000001,4078.820801,0
24500,0.000001,4078.820801,0
24600,0.000001,3885.430176,0
24700,0.000001,3497.634766,0
24800,0.000001,3620.047363,0
24900,0.000001,3832.510010,0
25000,0.000001,3497.634766,0
25100,0.000001,3701.285156,0
25200,0.000000,3497.634766,0
25300,0.000000,4036.160400,0
25400,0.000000,3497.634766,0
25500,0.000000,3304.244141,0
25600,0.000000,3832.510010,0
25700,0.000000,3832.510010,0
25800,0.000000,4078.820801,0
25900,0.000000,3497.634766,0
26000,0.000000,3689.586914,0
26100,0.000000,3620.047363,0
26200,0.000000,4078.820801,0
26300,0.000000,4036.160400,0
26400,0.000000,3885.430176,0
26500,0.000000,3304.244141,0
26600,0.000000,3885.430176,0
26700,0.000000,3689.586914,0
26800,0.000000,3832.510010,0
26900,0.000000,3497.634766,0
27000,0.000000,4078.820801,0
27100,0.000000,3701.285156,0
